epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7395,1.50017,2.78344,1.47254,0.99059,0.10371,0.42668,0.25013,1.42065,2.75234,1.3049,0.000410539,0.000410539,0.000410539
2,62.1879,1.54712,1.71732,1.47395,0.66075,0.69157,0.74156,0.3974,1.5111,1.40383,1.47596,0.000810827,0.000810827,0.000810827
3,86.6711,1.52505,1.59247,1.4724,0.56136,0.67384,0.62469,0.30893,1.67601,2.16051,1.5907,0.00119462,0.00119462,0.00119462
4,110.238,1.53446,1.55376,1.50056,0.59963,0.52302,0.57401,0.29956,1.70735,1.83718,1.69959,0.00117575,0.00117575,0.00117575
5,132.619,1.49547,1.46263,1.46813,0.6602,0.65114,0.63466,0.31776,1.67952,1.44649,1.6091,0.001151,0.001151,0.001151
6,158.356,1.46977,1.41894,1.46249,0.67697,0.59106,0.68958,0.36423,1.58624,1.26458,1.4853,0.00112625,0.00112625,0.00112625
7,181.397,1.45,1.34761,1.43398,0.75617,0.68162,0.73311,0.38445,1.58744,1.29531,1.49657,0.0011015,0.0011015,0.0011015
8,205.366,1.42407,1.31033,1.42173,0.81975,0.69502,0.78978,0.45074,1.469,1.07945,1.41615,0.00107675,0.00107675,0.00107675
9,228.974,1.40845,1.26417,1.40205,0.68053,0.7153,0.73951,0.40943,1.5139,1.23997,1.42948,0.001052,0.001052,0.001052
10,255.939,1.3838,1.21496,1.38764,0.80898,0.73953,0.81217,0.47227,1.48176,1.09723,1.41217,0.00102725,0.00102725,0.00102725
11,280.783,1.36185,1.20263,1.38531,0.77359,0.76005,0.79711,0.45902,1.44475,1.10226,1.36311,0.0010025,0.0010025,0.0010025
12,303.557,1.36113,1.1832,1.37068,0.80286,0.67663,0.78437,0.42165,1.54141,1.09195,1.44073,0.00097775,0.00097775,0.00097775
13,329.421,1.31537,1.1274,1.35737,0.82001,0.74944,0.79325,0.45844,1.4829,1.0718,1.41879,0.000953,0.000953,0.000953
14,352.501,1.31771,1.08414,1.3433,0.86711,0.69362,0.82527,0.48904,1.42435,1.01595,1.35063,0.00092825,0.00092825,0.00092825
15,376.323,1.30366,1.07807,1.33484,0.85067,0.78241,0.84974,0.51317,1.39343,0.91596,1.32913,0.0009035,0.0009035,0.0009035
16,401.089,1.28242,1.03686,1.31938,0.85417,0.74947,0.8371,0.50156,1.39056,0.94994,1.32676,0.00087875,0.00087875,0.00087875
17,424.292,1.30031,1.04155,1.32378,0.8434,0.7767,0.84541,0.48987,1.43993,0.9818,1.37256,0.000854,0.000854,0.000854
18,450.15,1.24798,1.01531,1.3089,0.85984,0.73963,0.83592,0.48442,1.42573,0.92356,1.35006,0.00082925,0.00082925,0.00082925
19,473.341,1.25482,0.98754,1.29648,0.88284,0.76136,0.84053,0.51226,1.39166,0.9582,1.33487,0.0008045,0.0008045,0.0008045
20,497.37,1.25658,0.98505,1.30397,0.83521,0.74153,0.84553,0.51027,1.40913,0.90171,1.35319,0.00077975,0.00077975,0.00077975
21,521.747,1.27152,0.97578,1.31086,0.90066,0.75578,0.86709,0.52779,1.37065,0.88742,1.32906,0.000755,0.000755,0.000755
22,544.826,1.23844,0.95006,1.28456,0.89571,0.79284,0.86409,0.518,1.36272,0.89144,1.30612,0.00073025,0.00073025,0.00073025
23,573.897,1.22495,0.94167,1.26771,0.87067,0.82768,0.87875,0.52824,1.3583,0.84969,1.29179,0.0007055,0.0007055,0.0007055
24,597.034,1.19739,0.88917,1.26741,0.91321,0.73179,0.87421,0.51251,1.36542,0.85713,1.30992,0.00068075,0.00068075,0.00068075
25,620.204,1.17095,0.87935,1.25313,0.82972,0.83083,0.88455,0.52076,1.38773,0.85558,1.30627,0.000656,0.000656,0.000656
26,645.032,1.19772,0.89382,1.2498,0.8767,0.82341,0.88221,0.51323,1.38488,0.85113,1.31206,0.00063125,0.00063125,0.00063125
27,667.891,1.17394,0.87794,1.24219,0.86191,0.78257,0.85124,0.49721,1.41362,0.85789,1.34125,0.0006065,0.0006065,0.0006065
28,692.461,1.16366,0.85295,1.22909,0.88221,0.80688,0.87058,0.5351,1.35463,0.82012,1.2812,0.00058175,0.00058175,0.00058175
29,715.518,1.17854,0.85666,1.2455,0.86629,0.8338,0.88324,0.54031,1.34813,0.83275,1.28543,0.000557,0.000557,0.000557
30,737.836,1.14801,0.83696,1.22757,0.83437,0.8075,0.86606,0.52871,1.34065,0.81275,1.27825,0.00053225,0.00053225,0.00053225
31,763.158,1.12675,0.82481,1.21842,0.90537,0.78848,0.86776,0.53412,1.33332,0.81473,1.2843,0.0005075,0.0005075,0.0005075
32,785.763,1.13795,0.81772,1.22114,0.8926,0.83309,0.88658,0.54217,1.32255,0.77661,1.27362,0.00048275,0.00048275,0.00048275
33,809.94,1.11414,0.79376,1.20895,0.8862,0.82262,0.88553,0.53902,1.34242,0.79992,1.28394,0.000458,0.000458,0.000458
34,833.604,1.10168,0.78342,1.20002,0.89985,0.82479,0.87683,0.5323,1.33555,0.78716,1.26014,0.00043325,0.00043325,0.00043325
35,856.621,1.11012,0.78111,1.19659,0.91751,0.83296,0.88506,0.55206,1.32734,0.78091,1.26599,0.0004085,0.0004085,0.0004085
36,885.231,1.08085,0.74998,1.18454,0.90723,0.81011,0.88668,0.5538,1.32239,0.75288,1.25682,0.00038375,0.00038375,0.00038375
37,908.235,1.06656,0.74966,1.18623,0.91782,0.80775,0.87606,0.54136,1.34314,0.7848,1.27532,0.000359,0.000359,0.000359
